Cyc,p,1,1,1,0,1,1,0
Kads,f,1,1,0,1,0,0,0
Tove,f,1,1,0,0,1,0,0
Idef5,f,0,1,1,0,0,1,0
Plinius,p,1,0,1,0,1,0,2
Grüninger,i,1,0,0,0,1,1,0
PhysSys,p,1,0,1,0,1,0,0
Uschold,f,1,1,0,0,1,1,0
Onions,i,1,1,1,0,1,0,1
Sensus,i,1,0,1,0,1,0,2
Methontology,f,0,1,0,0,1,1,0
(KA) 2,i,1,1,1,0,0,0,1
Kosmos,l,1,0,1,0,1,0,2
Ont. Dev. 101,f,0,1,0,0,1,0,0
eXtreme,f,1,1,1,1,0,1,1
Dolce,l,1,1,1,0,1,1,0
Otk,p,1,1,1,1,1,1,1
Diligent,i,1,0,0,0,1,1,1
Dynamont,i,0,1,0,0,1,0,0
Upon,f,1,1,0,0,1,0,1
Hcome,i,1,1,1,0,0,0,1
Dogma,i,1,1,1,0,0,0,0
Li2009,f,1,1,1,0,1,1,2
NeOn,i,1,1,1,1,0,0,2
Debruyne,l,1,0,1,0,0,0,1
Grounded Ont.,i,1,1,1,0,0,0,2
Bautista,l,1,0,1,0,0,0,1
Yamo,f,1,1,1,0,1,1,2
Uponlite,f,0,1,0,0,1,0,1
Samod,f,0,1,0,1,1,1,1
Saad,f,1,1,1,1,1,1,1
Ommas,p,1,1,0,1,1,1,0
Ahmad,p,1,1,0,0,1,1,0
Daponte,i,1,0,1,0,1,1,2
Fawei,p,1,0,1,0,1,1,2
John,f,1,1,0,1,1,0,0
Li,f,1,1,1,0,1,1,0
Zhang,p,1,1,1,1,1,1,0
Abdelghany,f,1,1,0,1,1,1,1
Jacksi,p,1,0,0,0,1,0,0
Ontodi,i,1,1,1,0,1,1,0
Olivares,p,1,1,1,1,1,1,0
Lot,i,0,1,0,1,1,1,1
Tang,p,1,0,1,0,1,1,0
Oda,p,1,1,1,0,1,1,0
Tailhardat,i,1,1,1,0,1,1,0
